bakery_name,addres
Milo Bakes,"1054 Cathcart Rd, Mount Florida, Glasgow G42 9XW"
Full Circle Bakes,"276 Cumbernauld Rd, Glasgow G31 2UL"
Lily Bakes Cakes,"31 Hyndland St, Partick, Glasgow G11 5QF"
Big Bear Bakery,"21 Dowanhill St, Partick, Glasgow G11 5QR"
Long Short Black,"501 Victoria Rd, Glasgow G42 8RL"
Deanston Bakery,"167 Deanston Dr, Shawlands, Glasgow G41 3LP"
Akara Bakery,"537 Duke St, Glasgow G31 1DL"
Bertos Brownies,"8 Chancellor St, Glasgow G11 5RQ"
Valaria,"333 Byres Rd, Glasgow G12 8UQ"
Chulo's,"936 Argyle St, Finnieston, Glasgow G3 8YJ"
Cottonrake Bakery,"497 Great Western Rd, Glasgow G12 8HL"
